Date,IWB_Return
2000-06-30,0.037138
2000-07-31,-0.015442
2000-08-31,0.075780
2000-09-30,-0.048647
2000-10-31,-0.012614
2000-11-30,-0.086073
2000-12-31,0.005029
2001-01-31,0.037058
2001-02-28,-0.094845
2001-03-31,-0.073208
2001-04-30,0.088147
2001-05-31,0.005963
2001-06-30,-0.020974
2001-07-31,-0.016005
2001-08-31,-0.061801
2001-09-30,-0.082996
2001-10-31,0.016426
2001-11-30,0.075711
2001-12-31,0.015151
2002-01-31,-0.022640
2002-02-28,-0.015779
2002-03-31,0.033172
2002-04-30,-0.054996
2002-05-31,-0.006974
2002-06-30,-0.083796
2002-07-31,-0.067346
2002-08-31,0.002873
2002-09-30,-0.104811
2002-10-31,0.077239
2002-11-30,0.062934
2002-12-31,-0.064471
2003-01-31,-0.025152
2003-02-28,-0.010736
2003-03-31,0.000443
2003-04-30,0.080311
2003-05-31,0.059796
2003-06-30,0.008907
2003-07-31,0.020297
2003-08-31,0.018218
2003-09-30,-0.011496
2003-10-31,0.057236
2003-11-30,0.012921
2003-12-31,0.040223
2004-01-31,0.020418
2004-02-29,0.013145
2004-03-31,-0.018284
2004-04-30,-0.018042
2004-05-31,0.013985
2004-06-30,0.014665
2004-07-31,-0.033337
2004-08-31,0.002368
2004-09-30,0.007602
2004-10-31,0.016344
2004-11-30,0.043704
2004-12-31,0.025768
2005-01-31,-0.022004
2005-02-28,0.021588
2005-03-31,-0.022108
2005-04-30,-0.018442
2005-05-31,0.034769
2005-06-30,0.000155
2005-07-31,0.041038
2005-08-31,-0.009094
2005-09-30,0.006011
2005-10-31,-0.022421
2005-11-30,0.040013
2005-12-31,-0.004559
2006-01-31,0.024614
2006-02-28,0.006773
2006-03-31,0.012159
2006-04-30,0.010322
2006-05-31,-0.030528
2006-06-30,-0.001879
2006-07-31,0.001156
2006-08-31,0.024343
2006-09-30,0.019322
2006-10-31,0.032553
2006-11-30,0.019976
2006-12-31,0.009468
2007-01-31,0.018120
2007-02-28,-0.017602
2007-03-31,0.005837
2007-04-30,0.042458
2007-05-31,0.035912
2007-06-30,-0.021940
2007-07-31,-0.031868
2007-08-31,0.011613
2007-09-30,0.036241
2007-10-31,0.015985
2007-11-30,-0.041158
2007-12-31,-0.015040
2008-01-31,-0.058105
2008-02-29,-0.028464
2008-03-31,-0.011258
2008-04-30,0.049947
2008-05-31,0.017191
2008-06-30,-0.083083
2008-07-31,-0.014043
2008-08-31,0.013806
2008-09-30,-0.097143
2008-10-31,-0.168884
2008-11-30,-0.083989
2008-12-31,0.012655
2009-01-31,-0.073858
2009-02-28,-0.103789
2009-03-31,0.073392
2009-04-30,0.105492
2009-05-31,0.058663
2009-06-30,0.000790
2009-07-31,0.069048
2009-08-31,0.036814
2009-09-30,0.034662
2009-10-31,-0.022201
2009-11-30,0.059847
2009-12-31,0.018301
2010-01-31,-0.035980
2010-02-28,0.032243
2010-03-31,0.057726
2010-04-30,0.018264
2010-05-31,-0.078824
2010-06-30,-0.056405
2010-07-31,0.065433
2010-08-31,-0.044996
2010-09-30,0.086861
2010-10-31,0.038754
2010-11-30,0.001986
2010-12-31,0.063278
2011-01-31,0.023187
2011-02-28,0.035174
2011-03-31,-0.001757
2011-04-30,0.027664
